Issue,Vol.,Title,Collecting,Release date,,,,,,,,,,,,,,,,,
1,21,The Amazing Spider-Man: Coming Home,Amazing Spider-Man (Vol 2) #30-35,28 Dec 2011,http://marvel.com/comics/issue/3583/amazing_spider-man_1999_30,http://marvel.com/comics/issue/43123/amazing_spider-man_1999_31,http://marvel.com/comics/issue/43125/amazing_spider-man_1999_32,http://marvel.com/comics/issue/43128/amazing_spider-man_1999_33,http://marvel.com/comics/issue/43130/amazing_spider-man_1999_34,http://marvel.com/comics/issue/43132/amazing_spider-man_1999_35,,,,,,,,,,,
2,2,Uncanny X-Men: Dark Phoenix,Uncanny X-Men #129-137,11 Jan 2012,http://marvel.com/comics/issue/12446/uncanny_x-men_1963_129,http://marvel.com/comics/issue/12448/uncanny_x-men_1963_130,http://marvel.com/comics/issue/12449/uncanny_x-men_1963_131,http://marvel.com/comics/issue/12450/uncanny_x-men_1963_132,http://marvel.com/comics/issue/12451/uncanny_x-men_1963_133,http://marvel.com/comics/issue/12452/uncanny_x-men_1963_134,http://marvel.com/comics/issue/12453/uncanny_x-men_1963_135,http://marvel.com/comics/issue/12454/uncanny_x-men_1963_136,http://marvel.com/comics/issue/12455/uncanny_x-men_1963_137,,,,,,,,
3,43,Iron Man: Extremis,Iron Man (Vol 4) #1-6,25 Jan 2012,http://marvel.com/comics/issue/92/iron_man_2004_1,http://marvel.com/comics/issue/1493/iron_man_2004_2,http://marvel.com/comics/issue/1580/iron_man_2004_3,http://marvel.com/comics/issue/1765/iron_man_2004_4,http://marvel.com/comics/issue/3347/iron_man_2004_5,http://marvel.com/comics/issue/3881/iron_man_2004_6,,,,,,,,,,,
4,28,The Ultimates: Super-Human,The Ultimates #1-6,8 Feb 2012,http://marvel.com/comics/issue/15292/ultimates_2002_1,http://marvel.com/comics/issue/15297/ultimates_2002_2,http://marvel.com/comics/issue/15298/ultimates_2002_3,http://marvel.com/comics/issue/15299/ultimates_2002_4,http://marvel.com/comics/issue/15300/ultimates_2002_5,http://marvel.com/comics/issue/15301/ultimates_2002_6,,,,,,,,,,,
5,9,The Amazing Spider-Man: Birth of Venom,"The Amazing Spider-Man (Vol 1) #252, 256-259, 300 and Web Of Spider-Man #1",22 Feb 2012,http://marvel.com/comics/issue/6652/amazing_spider-man_1963_252,http://marvel.com/comics/issue/6656/amazing_spider-man_1963_256,http://marvel.com/comics/issue/6657/amazing_spider-man_1963_257,http://marvel.com/comics/issue/6658/amazing_spider-man_1963_258,http://marvel.com/comics/issue/6659/amazing_spider-man_1963_259,http://marvel.com/comics/issue/6706/amazing_spider-man_1963_300,http://marvel.com/comics/issue/11973/web_of_spider-man_1985_1,,,,,,,,,,
6,52,Thor: Reborn,Thor (Vol 3) #1-6,7 Mar 2012,http://marvel.com/comics/issue/15943/thor_2007_1,http://marvel.com/comics/issue/16128/thor_2007_2,http://marvel.com/comics/issue/16479/thor_2007_3,http://marvel.com/comics/issue/16481/thor_2007_4,http://marvel.com/comics/issue/17229/thor_2007_5,http://marvel.com/comics/issue/17363/thor_2007_6,,,,,,,,,,,
7,44,Captain America: Winter Soldier,Captain America (Vol 5) #8-9 and #11-14,21 Mar 2012,http://marvel.com/comics/issue/2190/captain_america_2004_8,http://marvel.com/comics/issue/2308/captain_america_2004_9,http://marvel.com/comics/issue/2421/captain_america_2004_11,http://marvel.com/comics/issue/2422/captain_america_2004_12,http://marvel.com/comics/issue/3084/captain_america_2004_13,http://marvel.com/comics/issue/3188/captain_america_2004_14,,,,,,,,,,,
8,11,The Incredible Hulk: Silent Screams,The Incredible Hulk #370-377,4 Apr 2012,http://marvel.com/comics/issue/9181/incredible_hulk_1962_370,http://marvel.com/comics/issue/9182/incredible_hulk_1962_371,http://marvel.com/comics/issue/9183/incredible_hulk_1962_372,http://marvel.com/comics/issue/9184/incredible_hulk_1962_373,http://marvel.com/comics/issue/9185/incredible_hulk_1962_374,http://marvel.com/comics/issue/9186/incredible_hulk_1962_375,http://marvel.com/comics/issue/9187/incredible_hulk_1962_376,http://marvel.com/comics/issue/9188/incredible_hulk_1962_377,,,,,,,,,
9,4,Wolverine: Wolverine,Wolverine #1-4,18 Apr 2012,http://marvel.com/comics/issue/12168/wolverine_1982_1,http://marvel.com/comics/issue/12169/wolverine_1982_2,http://marvel.com/comics/issue/12170/wolverine_1982_3,http://marvel.com/comics/issue/12171/wolverine_1982_4,,,,,,,,,,,,,
10,36,Astonishing X-Men: Gifted,Astonishing X-Men #1-6,2 May 2012,http://marvel.com/comics/issue/660/astonishing_x-men_2004_1,http://marvel.com/comics/issue/723/astonishing_x-men_2004_2,http://marvel.com/comics/issue/531/astonishing_x-men_2004_3,http://marvel.com/comics/issue/1808/astonishing_x-men_2004_4,http://marvel.com/comics/issue/843/astonishing_x-men_2004_5,http://marvel.com/comics/issue/927/astonishing_x-men_2004_6,,,,,,,,,,,
11,3,Captain Britain: A Crooked World,"Marvel Superheroes #387-388, The Daredevils #1-11 and The Mighty World Of Marvel (Vol 2) #7-13",16 May 2012,,,,,,,,,,,,,,,,,
12,14,Avengers: Forever (Part 1),Avengers Forever #1-6,30 May 2012,http://marvel.com/comics/issue/6946/avengers_forever_1998_1,http://marvel.com/comics/issue/12405/avengers_forever_1998_2,http://marvel.com/comics/issue/12406/avengers_forever_1998_3,http://marvel.com/comics/issue/12407/avengers_forever_1998_4,http://marvel.com/comics/issue/12408/avengers_forever_1998_5,http://marvel.com/comics/issue/12409/avengers_forever_1998_6,,,,,,,,,,,
13,10,The Amazing Spider-Man: Kraven's Last Hunt,"Web of Spider-Man #31-32, Amazing Spider-Man #293-294, and Spectacular Spider-Man #131-132",13 Jun 2012,http://marvel.com/comics/issue/12027/web_of_spider-man_1985_31,http://marvel.com/comics/issue/12028/web_of_spider-man_1985_32,http://marvel.com/comics/issue/6697/amazing_spider-man_1963_293,http://marvel.com/comics/issue/6698/amazing_spider-man_1963_294,http://marvel.com/comics/issue/14578/peter_parker_the_spectacular_spider-man_1976_131,http://marvel.com/comics/issue/14579/peter_parker_the_spectacular_spider-man_1976_132,,,,,,,,,,,
14,27,Captain America: The New Deal,Captain America (Vol 4) #1-6,27 Jun 2012,http://marvel.com/comics/issue/12817/captain_america_2002_1,http://marvel.com/comics/issue/12828/captain_america_2002_2,http://marvel.com/comics/issue/12839/captain_america_2002_3,http://marvel.com/comics/issue/12843/captain_america_2002_4,http://marvel.com/comics/issue/12844/captain_america_2002_5,http://marvel.com/comics/issue/12845/captain_america_2002_6,,,,,,,,,,,
15,13,Marvels,Marvels #0-4,11 Jul 2012,http://marvel.com/comics/issue/10279/marvels_1994,http://marvel.com/comics/issue/10280/marvels_1994_1,http://marvel.com/comics/issue/10281/marvels_1994_2,http://marvel.com/comics/issue/10282/marvels_1994_3,http://marvel.com/comics/issue/10283/marvels_1994_4,,,,,,,,,,,,
16,34,Avengers: Disassembled,Avengers #500-503 & Avengers Finale,25 Jul 2012,http://marvel.com/comics/issue/532/avengers_1998_500,http://marvel.com/comics/issue/767/avengers_1998_501,http://marvel.com/comics/issue/845/avengers_1998_502,http://marvel.com/comics/issue/923/avengers_1998_503,http://marvel.com/comics/issue/90/avengers_finale_2004_1,,,,,,,,,,,,
17,23,New X-Men: E is for Extinction,New X-Men #114-117,8 Aug 2012,http://marvel.com/comics/issue/14933/new_x-men_2001_114,http://marvel.com/comics/issue/14934/new_x-men_2001_115,http://marvel.com/comics/issue/14935/new_x-men_2001_116,http://marvel.com/comics/issue/14936/new_x-men_2001_117,,,,,,,,,,,,,
18,33,Secret War,Secret War #1-5,22 Aug 2012,http://marvel.com/comics/issue/104/secret_war_2004_1,http://marvel.com/comics/issue/668/secret_war_2004_2,http://marvel.com/comics/issue/773/secret_war_2004_3,http://marvel.com/comics/issue/1708/secret_war_2004_4,http://marvel.com/comics/issue/2594/secret_war_2004_5,,,,,,,,,,,,
